 21 1805.362343 2.018E-30 3.979E-03.05980.066 4069.35330.68-.002354       3 0 0 03       1 1 1 01                    P 71e     3655532029 9 9 711   141.0  143.0
 21 1805.373258 2.934E-30 1.177E-02.06570.074 4138.48990.74-.002176       4 0 0 05       2 1 1 03                    P 49e     3665632429 9 9 711    97.0   99.0
 21 1805.419569 3.131E-29 2.057E-05.07400.100 2123.30070.70-.002113       2 2 2 03       0 3 3 01                    P 17e     3666632429 9 9 711    33.0   35.0
 21 1805.446629 2.985E-29 7.239E-04.06870.087 2998.75750.74-.002093       3 1 1 04       1 2 2 02                    P 32e     3666632429 9 9 711    63.0   65.0
 21 1805.494294 4.482E-30 2.141E-04.06920.088 3124.74120.74-.002090       3 1 1 03       1 2 2 01                    P 30e     3666632429 9 9 711    59.0   61.0
 21 1805.507784 1.308E-27 7.936E-04.06550.074 2332.98210.74-.002183       2 1 1 03       0 2 2 01                    P 50e     3655532429 9 9 711    99.0  101.0
 21 1805.530979 4.460E-30 1.229E-04.07520.102 2879.15910.69-.001232       3 1 1 03       2 0 0 01                    R 14e     3666632429 9 9 711    31.0   29.0
 21 1805.629912 6.899E-30 1.073E-04.07660.104 2733.03150.68-.001076       2 3 3 03       0 4 4 01                    R 12e     3666632429 9 9 711    27.0   25.0
 21 1805.817483 6.713E-30 1.899E-02.05850.065 4154.88010.67-.002389       3 0 0 04       1 1 1 02                    P 75e     3655532429 9 9 711   149.0  151.0
 21 1805.926541 4.534E-30 2.358E-04.06890.088 3149.01400.74-.002091       3 1 1 03       1 2 2 01                    P 31f     3666632429 9 9 711    61.0   63.0
 21 1806.202685 2.380E-29 1.561E-05.07460.101 2109.96250.69-.002118       2 2 2 03       0 3 3 01                    P 16f     3666632429 9 9 711    31.0   33.0
 21 1806.413982 7.968E-30 1.214E-04.07590.103 2743.25040.68-.001137       2 3 3 03       0 4 4 01                    R 13f     3666632429 9 9 711    29.0   27.0
 21 1806.453424 3.305E-29 8.817E-04.06850.086 3024.58980.74-.002095       3 1 1 04       1 2 2 02                    P 33f     3666632429 9 9 711    65.0   67.0
 21 1806.479764 2.135E-30 1.318E-02.05090.062 4368.57970.59-.002578       2 0 0 03       0 1 1 01                    P 97e     3644432438 9 9 711   193.0  195.0
 21 1806.498924 1.002E-27 1.038E-03.06490.072 2454.95160.73-.002205       2 1 1 03       0 2 2 01                    P 53f     3655532429 9 9 711   105.0  107.0
 21 1806.740326 3.663E-30 1.062E-02.06610.075 4062.78030.74-.002162       4 0 0 05       2 1 1 03                    P 47e     3665632429 9 9 711    93.0   95.0
 21 1806.794037 2.125E-27 6.196E-05.07400.100 1494.30710.70-.001343       2 1 1 03       1 0 0 01                    R 16e     3666632429 9 9 711    35.0   33.0
 21 1806.989965 1.712E-29 1.130E-05.07520.102 2097.40870.69-.002123       2 2 2 03       0 3 3 01                    P 15e     3666632429 9 9 711    29.0   31.0
 21 1807.045874 5.112E-30 1.406E-04.07400.100 2903.37380.70-.001343       3 1 1 03       2 0 0 01                    R 16e     3666632429 9 9 711    35.0   33.0
 21 1807.090489 3.071E-29 6.268E-04.06920.088 2949.40790.74-.002090       3 1 1 04       1 2 2 02                    P 30e     3666632429 9 9 711    59.0   61.0
 21 1807.197844 9.027E-30 1.358E-04.07520.102 2754.25520.69-.001196       2 3 3 03       0 4 4 01                    R 14e     3666632429 9 9 711    31.0   29.0
 21 1807.213541 1.673E-27 7.275E-04.06590.075 2255.56680.74-.002169       2 1 1 03       0 2 2 01                    P 48e     3665632429 9 9 711    95.0   97.0
 21 1807.226572 1.069E-29 1.771E-02.05920.065 4038.92970.68-.002372       3 0 0 04       1 1 1 02                    P 73e     3655532429 9 9 711   145.0  147.0
 21 1807.240533 3.151E-30 3.758E-03.06050.066 3959.60860.69-.002337       3 0 0 03       1 1 1 01                    P 69e     3655532029 9 9 711   137.0  139.0
 21 1807.244697 4.459E-30 1.829E-04.06970.090 3078.56790.73-.002088       3 1 1 03       1 2 2 01                    P 28e     3666632429 9 9 711    55.0   57.0
 21 1807.519229 4.580E-30 2.025E-04.06940.089 3101.27430.73-.002088       3 1 1 03       1 2 2 01                    P 29f     3666632429 9 9 711    57.0   59.0
 21 1807.773979 1.823E-29 1.222E-05.07590.103 2085.63920.68-.002128       2 2 2 03       0 3 3 01                    P 14f     3366632430 9 9 711    27.0   29.0
